"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","CDSD","DP01","DP10","DSND","DSNW","DT00","DT32","DX32","DX90","EMNT","EMSD","EMSN","EMXP","EMXT","HDSD","PRCP","PSUN","SNOW","TAVG","TMAX","TMIN","TSUN","WDF1","WDF2","WDF5","WDFG","WDFM","WDMV","WSF1","WSF2","WSF5","WSFG","WSFM"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1957-09",,"1225","11","7","0","0","0","0","0","2","41","0","0.0","1.05","91","49","3.01",,"0.0","69.7","77.8","61.6",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1957-10",,"1229","7","5","0","0","0","0","0","0","35","0","0.0","1.19","79","326","3.27",,"0.0","56.2","63.9","48.5",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1957-11",,"1229","10","9","0","0","0","3","0","0","28","0","0.0","0.97","66","795","4.46",,"0.0","49.4","55.5","43.2",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1957-12",,"1229","13","10","5","1","0","9","1","0","18","8","7.5","1.51","59","1564","5.27",,"8.7","40.2","45.4","35.0",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1958-01",,"0","10","9","13","2","0","21","7","0","12","5","4.5","0.86","53","2591","3.79",,"9.2","31.9","37.5","26.3",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1958-02",,"0","6","5","10","3","0","22","13","0","3","8","5.9","0.89","49","3644","2.98",,"10.7","27.4","32.7","22.0",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1958-03",,"0","10","7","7","3","0","3","0","0","27","10","7.1","0.90","57","4412","3.19",,"15.9","40.2","45.4","35.1",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1958-04",,"3","11","7","0","0","0","1","0","0","29","0","0.2","2.19","78","4779","6.15",,"0.2","52.9","60.9","44.9",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1958-05",,"19","17","11","0","0","0","0","0","0","42","0","0.0","0.47","82","4979","3.26",,"0.0","59.1","66.4","51.7",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1958-06",,"115","11","8","0","0","0","0","0","0","49","0","0.0","0.66","89","5010","2.55",,"0.0","67.2","75.6","58.7",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1958-07",,"459","16","11","0","0","0","0","0","4","63","0","0.0","0.89","93","0","3.69",,"0.0","76.1","83.2","69.0",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1958-08",,"773","11","5","0","0","0","0","0","2","58","0","0.0","1.54","91","0","2.36",,"0.0","75.1","82.8","67.5",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1958-09",,"888","11","6","0","0","0","0","0","0","46","0","0.0","1.20","89","39","4.44",,"0.0","67.5","76.1","59.0",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1958-10",,"909","11","5","0","0","0","0","0","0","39","0","0.0","1.32","83","354","5.46",,"0.0","55.5","63.0","47.9",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1958-11",,"909","10","4","0","0","0","3","1","0","18","0","0.0","0.92","65","866","1.85",,"0.0","47.9","54.3","41.5",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1958-12",,"909","9","4","9","2","0","28","13","0","12","3","1.9","0.51","55","1972","1.25",,"3.8","29.3","35.9","22.8",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1959-01",,"0","13","4","2","0","0","24","9","0","14","1","0.9","0.83","61","3019","2.35",,"1.6","31.2","38.1","24.3",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1959-02",,"0","9","4","0","0","0","21","3","0","7","0","0.4","0.50","52","3942","1.69",,"0.4","32.1","40.1","24.0",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1959-03",,"0","11","7","5","1","0","17","0","0","20","5","5.5","1.35","71","4714","3.77",,"6.7","40.1","48.3","31.9",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1959-04",,"9","11","7","0","0","0","0","0","0","34","0","0.6","0.51","83","5061","1.91",,"0.6","53.7","62.4","45.1",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1959-05",,"140","8","3","0","0","0","0","0","3","43","0","0.0","0.49","94","5152","1.33",,"0.0","66.3","76.4","56.3",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1959-06",,"358","11","8","0","0","0","0","0","5","53","0","0.0","1.06","97","5185","4.20",,"0.0","71.2","79.4","62.9",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1959-07",,"708","11","8","0","0","0","0","0","3","62","0","0.0","1.80","90","0","4.28",,"0.0","76.3","83.8","68.8",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1959-08",,"1096","9","5","0","0","0","0","0","13","61","0","0.0","1.25","94","0","4.45",,"0.0","77.5","85.3","69.7",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1959-09",,"1347","6","3","0","0","0","0","0","3","46","0","0.0","0.41","93","32","1.11",,"0.0","72.3","80.9","63.6",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1959-10",,"1415","12","11","0","0","0","0","0","0","36","0","0.0","1.43","88","263","4.82",,"0.0","59.8","66.6","52.9",,,,,,,,,,,,
